,STT,Date,Max Temp,Avg Temp,Min Temp,Max Dew Point,Avg Dew Point,Min Dew Point,Max Humidity,Avg Humidity,Min Humidity,Max Wind Speed,Avg Wind Speed,Min Wind Speed,Max Pressure,Avg Pressure,Min Pressure
598,599,2022-08-22,95,84.2,79.0,79,75.5,73.0,94,77.0,52.0,10,6.6,2.0,29.8,29.7,29.6
599,600,2022-08-23,93,84.2,77.0,79,76.5,73.0,100,79.0,59.0,16,6.1,1.0,29.8,29.7,29.6
600,601,2022-08-24,91,83.0,77.0,79,74.7,72.0,94,77.7,59.0,15,5.2,1.0,29.8,29.7,29.6
601,602,2022-08-25,90,81.6,77.0,77,74.8,73.0,94,81.7,59.0,16,7.8,2.0,29.8,29.7,29.6
602,603,2022-08-26,90,80.2,75.0,77,74.6,73.0,100,84.8,62.0,18,6.6,1.0,29.9,29.8,29.7
603,604,2022-08-27,93,82.9,75.0,77,74.0,72.0,94,77.1,52.0,10,4.6,1.0,29.8,29.7,29.6
604,605,2022-08-28,93,82.5,77.0,79,76.0,73.0,100,82.6,55.0,8,2.6,1.0,29.8,29.7,29.6
605,606,2022-08-29,93,84.7,77.0,79,75.9,75.0,94,76.4,56.0,12,6.8,1.0,29.8,29.7,29.7
606,607,2022-08-30,93,84.3,75.0,79,77.0,73.0,94,79.3,56.0,17,6.0,2.0,29.8,29.7,29.6
607,608,2022-08-31,91,82.8,77.0,79,75.7,73.0,100,81.0,55.0,12,4.5,2.0,29.8,29.7,29.6
608,609,2022-09-01,93,84.4,77.0,81,76.0,73.0,100,77.8,52.0,12,2.6,2.0,29.8,29.7,29.6
609,610,2022-09-02,91,82.2,75.0,81,76.9,73.0,100,84.7,63.0,13,4.4,2.0,29.8,29.7,29.6
610,611,2022-09-03,93,83.2,77.0,81,75.9,75.0,94,79.8,56.0,18,5.3,2.0,29.8,29.7,29.6
611,612,2022-09-04,90,82.6,77.0,79,76.4,73.0,94,82.7,66.0,22,7.9,2.0,29.8,29.7,29.7
612,613,2022-09-05,91,82.6,77.0,79,76.0,73.0,94,82.0,62.0,15,6.4,2.0,29.8,29.7,29.7
613,614,2022-09-06,90,81.8,77.0,79,76.2,73.0,94,84.6,59.0,17,7.0,2.0,29.8,29.7,29.6
614,615,2022-09-07,84,78.9,77.0,77,75.5,73.0,100,90.3,74.0,16,5.0,2.0,29.8,29.8,29.7
615,616,2022-09-08,88,81.5,77.0,77,74.4,72.0,94,80.5,62.0,15,8.9,2.0,29.9,29.8,29.7
616,617,2022-09-09,93,84.5,77.0,79,75.8,73.0,94,76.7,55.0,12,4.8,1.0,29.9,29.8,29.7
617,618,2022-09-10,93,85.5,79.0,79,77.0,73.0,100,77.1,52.0,13,5.3,1.0,29.8,29.8,29.7
618,619,2022-09-11,93,82.8,77.0,79,76.3,73.0,100,81.8,55.0,13,4.3,1.0,29.8,29.8,29.7
619,620,2022-09-12,91,81.1,77.0,77,75.9,73.0,100,85.5,59.0,8,3.8,1.0,29.8,29.7,29.7
620,621,2022-09-13,91,83.2,77.0,79,76.7,75.0,100,82.0,59.0,12,4.5,1.0,29.8,29.8,29.7
621,622,2022-09-14,91,82.5,77.0,79,76.4,73.0,94,82.9,63.0,18,8.3,1.0,29.9,29.8,29.7
622,623,2022-09-15,90,82.9,77.0,79,75.5,73.0,94,79.2,66.0,20,9.9,3.0,29.9,29.8,29.7
623,624,2022-09-16,91,82.8,75.0,79,77.0,73.0,100,83.8,59.0,20,7.5,1.0,29.8,29.7,29.6
624,625,2022-09-17,91,83.4,79.0,79,77.3,75.0,94,82.5,59.0,18,6.3,1.0,29.8,29.7,29.6
625,626,2022-09-18,90,83.0,79.0,79,76.3,75.0,94,81.9,62.0,21,6.5,1.0,29.8,29.8,29.7
626,627,2022-09-19,91,81.3,75.0,79,76.4,73.0,100,86.0,59.0,13,4.9,1.0,29.8,29.7,29.7
627,628,2022-09-20,90,81.8,77.0,79,76.6,75.0,100,85.2,62.0,16,5.7,1.0,29.8,29.7,29.6
628,629,2022-09-21,93,82.9,77.0,79,76.5,75.0,100,82.2,56.0,14,6.8,2.0,29.8,29.7,29.6
629,630,2022-09-22,90,82.2,79.0,77,76.5,75.0,94,83.7,62.0,16,8.1,3.0,29.8,29.7,29.7
630,631,2022-09-23,91,83.2,77.0,79,76.5,75.0,100,81.7,59.0,15,5.7,3.0,29.8,29.7,29.6
631,632,2022-09-24,90,82.1,79.0,79,77.0,75.0,94,85.4,66.0,10,4.3,3.0,29.8,29.7,29.6
632,633,2022-09-25,90,81.1,75.0,79,76.8,75.0,100,87.7,70.0,24,5.2,1.0,29.8,29.7,29.6
633,634,2022-09-26,90,78.7,75.0,79,75.6,73.0,100,90.9,66.0,16,4.7,1.0,29.8,29.7,29.7
634,635,2022-09-27,86,79.0,73.0,79,75.5,73.0,100,89.8,74.0,15,7.1,1.0,29.7,29.7,29.6
635,636,2022-09-28,88,80.2,77.0,79,76.4,75.0,100,89.2,70.0,25,13.0,3.0,29.6,29.6,29.5
636,637,2022-09-29,86,78.7,75.0,79,76.2,75.0,100,92.8,74.0,22,8.7,3.0,29.8,29.7,29.6
637,638,2022-09-30,88,81.6,77.0,81,77.5,77.0,100,88.0,70.0,14,6.3,2.0,29.8,29.7,29.7
638,639,2022-10-01,91,81.8,75.0,79,77.3,75.0,100,87.3,62.0,17,4.8,2.0,29.8,29.8,29.7
639,640,2022-10-02,90,81.3,77.0,81,77.2,75.0,100,88.2,66.0,13,4.4,1.0,29.8,29.7,29.7
640,641,2022-10-03,90,83.0,77.0,79,77.1,75.0,100,82.9,66.0,14,6.5,1.0,29.8,29.7,29.6
641,642,2022-10-04,90,83.3,77.0,79,76.8,73.0,100,82.0,62.0,15,6.0,2.0,29.8,29.8,29.7
642,643,2022-10-05,91,83.5,77.0,79,76.4,75.0,94,80.2,62.0,12,6.3,1.0,29.9,29.8,29.7
643,644,2022-10-06,88,81.5,77.0,79,77.3,75.0,100,87.6,70.0,12,5.3,2.0,29.9,29.8,29.7
644,645,2022-10-07,93,82.9,77.0,79,77.4,73.0,100,84.6,52.0,18,3.7,1.0,29.8,29.8,29.7
645,646,2022-10-08,84,78.8,77.0,79,77.1,75.0,100,95.0,84.0,9,4.5,1.0,29.9,29.8,29.7
646,647,2022-10-09,88,80.8,75.0,81,77.8,75.0,100,90.6,74.0,9,3.8,1.0,29.9,29.8,29.7
647,648,2022-10-10,90,81.1,75.0,81,76.7,73.0,100,87.6,66.0,13,3.7,1.0,29.9,29.8,29.7
648,649,2022-10-11,90,80.2,75.0,81,76.6,73.0,100,89.5,62.0,8,3.6,1.0,29.9,29.8,29.7
649,650,2022-10-12,91,83.6,77.0,79,76.2,73.0,100,80.2,55.0,8,4.6,1.0,29.8,29.8,29.7
650,651,2022-10-13,91,83.5,77.0,79,74.8,70.0,100,77.0,49.0,15,6.0,1.0,29.8,29.7,29.6
651,652,2022-10-14,88,81.6,77.0,77,74.7,70.0,94,80.5,62.0,13,5.9,2.0,29.7,29.7,29.6
652,653,2022-10-15,86,79.3,73.0,73,72.5,72.0,100,80.4,62.0,10,5.9,2.0,29.8,29.7,29.6
653,654,2022-10-16,91,80.6,72.0,77,72.9,70.0,100,79.1,52.0,8,5.4,2.0,29.8,29.8,29.7
654,655,2022-10-17,93,83.3,75.0,77,75.6,73.0,100,79.2,55.0,10,5.5,1.0,29.8,29.8,29.7
655,656,2022-10-18,93,83.3,77.0,79,76.5,73.0,100,81.8,55.0,9,4.9,1.0,29.8,29.7,29.7
656,657,2022-10-19,84,78.6,75.0,79,77.2,75.0,100,95.5,84.0,10,5.4,1.0,29.8,29.8,29.7
657,658,2022-10-20,84,79.7,75.0,79,76.8,75.0,100,91.4,79.0,12,6.7,2.0,29.9,29.8,29.8
658,659,2022-10-21,91,83.6,77.0,79,76.7,73.0,100,81.0,59.0,13,5.4,2.0,29.9,29.8,29.7
659,660,2022-10-22,91,84.1,79.0,81,77.5,75.0,100,81.8,59.0,9,4.2,1.0,29.9,29.8,29.7
660,661,2022-10-23,91,82.5,77.0,79,77.6,75.0,100,86.4,59.0,12,3.5,1.0,29.9,29.8,29.7
661,662,2022-10-24,95,83.1,73.0,81,77.2,72.0,100,84.2,49.0,15,4.2,1.0,29.9,29.8,29.7
662,663,2022-10-25,90,81.3,75.0,81,77.7,75.0,100,89.1,74.0,9,5.2,1.0,29.9,29.8,29.7
663,664,2022-10-26,91,83.7,77.0,81,78.5,77.0,100,84.8,66.0,10,4.3,1.0,29.8,29.8,29.7
664,665,2022-10-27,90,80.5,77.0,81,78.1,75.0,100,92.6,70.0,9,4.5,1.0,29.8,29.8,29.7
665,666,2022-10-28,86,81.2,77.0,81,78.0,75.0,100,90.1,74.0,8,3.4,1.0,29.8,29.7,29.6
666,667,2022-10-29,91,81.8,75.0,79,74.0,72.0,89,78.6,52.0,9,4.7,1.0,29.8,29.7,29.6
667,668,2022-10-30,91,83.9,79.0,75,72.8,70.0,89,70.5,49.0,12,5.6,1.0,29.8,29.7,29.6
668,669,2022-10-31,93,83.5,75.0,79,72.3,66.0,94,70.7,43.0,10,5.4,1.0,29.8,29.7,29.6
669,670,2022-11-01,90,82.6,77.0,79,75.9,72.0,100,81.8,58.0,9,5.0,2.0,29.8,29.8,29.7
670,671,2022-11-02,88,81.4,77.0,79,75.7,73.0,100,84.1,62.0,10,3.8,2.0,29.9,29.8,29.7
671,672,2022-11-03,84,78.8,75.0,77,75.0,73.0,100,89.2,74.0,8,4.2,2.0,29.9,29.8,29.8
672,673,2022-11-04,86,79.2,75.0,79,75.9,73.0,100,90.7,70.0,9,3.5,2.0,29.9,29.9,29.8
673,674,2022-11-05,91,81.7,75.0,79,74.7,68.0,100,81.5,52.0,10,4.7,2.0,29.9,29.9,29.8
674,675,2022-11-06,91,81.7,75.0,79,75.8,73.0,100,84.1,55.0,9,3.2,1.0,29.9,29.9,29.8
675,676,2022-11-07,91,81.6,75.0,81,78.0,75.0,100,89.0,66.0,10,3.2,1.0,29.9,29.8,29.8
676,677,2022-11-08,91,83.4,77.0,81,77.0,70.0,100,82.5,52.0,9,3.7,1.0,29.9,29.8,29.7
677,678,2022-11-09,93,84.3,77.0,79,77.3,73.0,100,80.5,55.0,8,3.0,1.0,29.9,29.8,29.7
678,679,2022-11-10,95,83.7,77.0,81,78.5,73.0,100,86.2,53.0,7,2.9,1.0,29.9,29.8,29.7
679,680,2022-11-11,91,84.6,79.0,81,78.3,75.0,100,82.1,59.0,10,4.3,1.0,29.9,29.8,29.7
680,681,2022-11-12,91,82.3,79.0,81,77.6,73.0,100,87.0,55.0,14,3.5,1.0,29.8,29.8,29.7
681,682,2022-11-13,90,82.1,77.0,81,78.3,77.0,100,88.6,70.0,13,5.7,1.0,29.8,29.8,29.7
682,683,2022-11-14,91,82.9,77.0,81,77.6,73.0,100,84.8,59.0,12,5.0,1.0,29.8,29.8,29.7
683,684,2022-11-15,91,82.6,77.0,79,77.3,75.0,100,84.7,59.0,15,4.5,1.0,29.8,29.8,29.7
684,685,2022-11-16,93,82.8,75.0,81,77.2,73.0,100,84.7,52.0,17,4.3,1.0,29.8,29.7,29.7
685,686,2022-11-17,91,82.7,77.0,81,77.3,73.0,100,85.2,59.0,12,3.3,1.0,29.8,29.7,29.6
686,687,2022-11-18,91,83.2,77.0,81,78.6,75.0,100,86.7,59.0,13,4.9,1.0,29.8,29.8,29.7
687,688,2022-11-19,82,79.0,77.0,79,76.7,75.0,100,93.2,79.0,12,4.7,1.0,29.8,29.7,29.6
688,689,2022-11-20,81,78.5,77.0,79,76.8,75.0,100,94.9,89.0,9,4.0,1.0,29.7,29.7,29.6
689,690,2022-11-21,84,79.2,75.0,79,76.9,75.0,100,93.0,79.0,6,2.9,1.0,29.7,29.6,29.6
690,691,2022-11-22,84,79.3,75.0,81,78.0,75.0,100,95.6,84.0,13,2.9,1.0,29.7,29.7,29.6
691,692,2022-11-23,86,79.5,77.0,82,78.2,77.0,100,95.8,79.0,15,6.2,1.0,29.8,29.7,29.7
692,693,2022-11-24,86,80.3,77.0,81,78.4,75.0,100,93.5,79.0,14,8.0,2.0,29.9,29.8,29.7
693,694,2022-11-25,90,82.5,77.0,81,78.0,75.0,100,86.7,70.0,12,7.3,3.0,29.9,29.8,29.7
694,695,2022-11-26,91,80.5,77.0,79,75.7,75.0,100,84.4,70.0,15,4.8,1.0,29.9,29.8,29.7
695,696,2022-11-27,91,83.5,79.0,79,77.7,77.0,94,83.3,63.0,12,7.7,3.0,29.8,29.8,29.7
696,697,2022-11-28,91,83.7,79.0,79,78.0,75.0,100,83.8,59.0,10,6.8,3.0,29.8,29.8,29.7
697,698,2022-11-29,91,84.4,79.0,79,75.6,72.0,94,76.2,52.0,12,6.7,1.0,29.9,29.8,29.7
698,699,2022-11-30,93,84.5,77.0,79,76.1,70.0,100,77.1,49.0,9,4.3,1.0,29.9,29.8,29.7
699,700,2022-12-01,91,84.8,79.0,81,76.5,68.0,100,77.7,46.0,13,3.8,1.0,29.8,29.7,29.7
700,701,2022-12-02,93,82.5,75.0,77,73.5,70.0,100,76.3,46.0,25,7.4,1.0,29.8,29.7,29.6
701,702,2022-12-03,90,80.3,73.0,79,75.0,73.0,100,86.0,59.0,17,6.2,1.0,29.8,29.7,29.6
702,703,2022-12-04,91,81.5,73.0,77,74.2,72.0,100,80.5,55.0,13,6.6,1.0,29.8,29.8,29.7
703,704,2022-12-05,91,83.5,75.0,79,76.2,72.0,100,80.2,52.0,9,4.4,1.0,29.9,29.8,29.7
704,705,2022-12-06,93,82.8,77.0,79,76.4,72.0,100,82.7,49.0,12,3.7,1.0,29.8,29.8,29.7
705,706,2022-12-07,90,80.8,77.0,79,76.6,73.0,100,88.3,62.0,6,3.0,1.0,29.8,29.8,29.7
706,707,2022-12-08,93,83.5,75.0,79,75.6,68.0,100,79.0,46.0,9,3.2,1.0,29.8,29.7,29.7
707,708,2022-12-09,91,82.8,77.0,79,75.5,72.0,100,80.5,52.0,8,4.0,1.0,29.8,29.7,29.7
708,709,2022-12-10,90,81.6,75.0,77,75.5,72.0,100,82.8,59.0,9,4.2,1.0,29.8,29.8,29.7
709,710,2022-12-11,91,81.8,75.0,77,74.1,68.0,100,79.8,46.0,13,5.1,1.0,29.9,29.8,29.7
710,711,2022-12-12,90,81.3,73.0,75,71.4,63.0,100,74.8,40.0,12,5.6,2.0,29.9,29.8,29.8
711,712,2022-12-13,91,80.4,72.0,73,67.0,57.0,94,67.0,33.0,12,4.9,1.0,29.9,29.8,29.7
712,713,2022-12-14,88,79.8,73.0,75,72.7,68.0,100,79.7,55.0,8,3.2,1.0,29.9,29.8,29.8
713,714,2022-12-15,91,80.9,72.0,77,72.0,68.0,94,75.4,49.0,6,3.5,1.0,29.8,29.8,29.7
714,715,2022-12-16,91,83.8,77.0,79,76.1,72.0,100,79.4,55.0,8,4.9,1.0,29.8,29.7,29.7
715,716,2022-12-17,88,82.4,77.0,77,73.5,70.0,94,75.7,55.0,10,6.1,2.0,29.8,29.7,29.7
716,717,2022-12-18,90,81.3,75.0,70,66.1,61.0,78,61.0,43.0,17,11.4,6.0,29.8,29.8,29.7
717,718,2022-12-19,90,79.7,72.0,72,65.5,61.0,78,63.3,43.0,9,5.4,1.0,29.9,29.8,29.7
718,719,2022-12-20,90,80.8,72.0,75,69.8,66.0,88,70.8,49.0,8,4.2,1.0,29.8,29.7,29.6
719,720,2022-12-21,91,81.8,75.0,79,74.0,70.0,94,79.6,49.0,9,4.2,1.0,29.8,29.7,29.7
720,721,2022-12-22,90,81.6,75.0,77,72.3,66.0,100,75.6,49.0,12,4.7,1.0,29.8,29.7,29.7
721,722,2022-12-23,90,79.1,70.0,75,63.7,55.0,100,62.8,33.0,10,5.8,3.0,29.9,29.8,29.7
722,723,2022-12-24,86,76.5,66.0,64,62.6,59.0,88,63.2,43.0,10,5.1,3.0,29.9,29.8,29.8
723,724,2022-12-25,86,77.1,70.0,70,62.7,59.0,88,62.0,40.0,8,4.2,1.0,29.9,29.9,29.8
724,725,2022-12-26,88,78.2,68.0,73,66.9,57.0,100,71.3,37.0,10,4.3,1.0,30.0,29.9,29.9
725,726,2022-12-27,84,77.3,70.0,72,69.6,66.0,94,77.6,55.0,7,2.9,1.0,30.0,29.9,29.8
726,727,2022-12-28,90,79.5,70.0,73,68.4,61.0,100,72.9,38.0,8,3.6,1.0,29.9,29.9,29.8
727,728,2022-12-29,91,81.8,75.0,77,71.4,63.0,94,73.5,40.0,8,4.5,1.0,29.9,29.9,29.8
728,729,2022-12-30,88,81.1,75.0,77,73.3,66.0,100,79.1,51.0,9,4.6,1.0,30.0,29.9,29.8
729,730,2022-12-31,86,78.6,73.0,70,64.7,63.0,78,62.8,48.0,9,5.7,2.0,30.0,29.9,29.8
730,731,2023-01-01,88,79.6,73.0,72,67.4,64.0,83,66.9,51.0,9,5.7,2.0,30.0,29.9,29.8
731,732,2023-01-02,90,80.1,73.0,77,72.9,68.0,94,79.7,58.0,7,3.7,1.0,30.0,29.9,29.8
732,733,2023-01-03,91,82.5,75.0,77,72.1,66.0,100,73.2,46.0,12,6.1,1.0,29.9,29.9,29.8
733,734,2023-01-04,91,81.8,75.0,70,68.0,66.0,83,64.1,46.0,14,8.8,2.0,29.9,29.8,29.8
734,735,2023-01-05,84,78.5,73.0,72,69.1,68.0,88,72.7,62.0,16,10.8,7.0,29.9,29.8,29.8
735,736,2023-01-06,86,78.3,72.0,70,67.3,66.0,94,70.3,51.0,15,9.2,3.0,29.9,29.8,29.8
736,737,2023-01-07,84,78.4,75.0,68,66.2,66.0,73,66.3,55.0,14,8.6,6.0,29.9,29.8,29.7
737,738,2023-01-08,86,78.6,73.0,73,69.2,66.0,89,73.2,55.0,8,4.0,1.0,29.9,29.8,29.8
738,739,2023-01-09,88,80.2,75.0,77,75.0,73.0,100,85.8,62.0,13,5.2,1.0,29.9,29.8,29.8
739,740,2023-01-10,84,79.3,75.0,79,75.1,73.0,100,87.9,74.0,14,7.4,1.0,29.9,29.8,29.8
740,741,2023-01-11,86,80.9,77.0,75,73.4,73.0,94,79.3,66.0,12,6.7,1.0,29.9,29.8,29.8
741,742,2023-01-12,88,81.7,77.0,75,74.1,73.0,94,79.3,62.0,10,7.7,2.0,29.9,29.8,29.8
742,743,2023-01-13,90,82.1,75.0,79,75.3,72.0,100,81.7,55.0,8,4.9,1.0,29.9,29.8,29.7
743,744,2023-01-14,93,83.6,77.0,79,75.7,72.0,100,78.8,49.0,8,4.4,1.0,29.8,29.8,29.7
744,745,2023-01-15,93,83.5,77.0,79,72.4,64.0,100,73.1,38.0,12,4.6,1.0,29.8,29.7,29.7
745,746,2023-01-16,93,83.3,77.0,77,73.7,64.0,94,75.7,41.0,12,5.4,1.0,29.9,29.8,29.7
746,747,2023-01-17,91,81.4,73.0,75,72.2,64.0,100,76.1,43.0,13,4.3,1.0,29.9,29.8,29.8
747,748,2023-01-18,90,81.0,73.0,75,68.5,64.0,94,66.8,46.0,12,4.2,1.0,29.9,29.9,29.8
748,749,2023-01-19,91,81.8,73.0,77,68.0,63.0,84,64.7,43.0,10,5.2,1.0,29.9,29.8,29.8
749,750,2023-01-20,91,81.6,73.0,77,71.9,68.0,89,73.4,49.0,8,4.6,1.0,29.9,29.8,29.8
750,751,2023-01-21,93,84.0,73.0,77,71.3,66.0,89,67.6,41.0,8,3.8,1.0,29.9,29.8,29.7
751,752,2023-01-22,91,84.0,77.0,79,74.0,70.0,100,73.1,49.0,13,3.8,1.0,29.8,29.8,29.7
752,753,2023-01-23,93,84.6,77.0,77,73.6,68.0,94,71.7,46.0,12,4.5,1.0,29.8,29.8,29.7
753,754,2023-01-24,95,82.8,75.0,77,71.6,63.0,100,72.2,34.0,13,5.4,1.0,29.9,29.8,29.7
754,755,2023-01-25,90,79.8,73.0,72,66.4,61.0,83,64.7,38.0,9,5.4,1.0,29.9,29.8,29.7
755,756,2023-01-26,90,80.4,73.0,75,65.7,63.0,84,62.0,40.0,9,4.5,1.0,29.9,29.8,29.7
756,757,2023-01-27,91,81.6,75.0,79,72.5,64.0,94,75.6,49.0,9,4.1,1.0,29.9,29.8,29.7
757,758,2023-01-28,90,80.8,73.0,73,64.7,61.0,78,59.3,43.0,13,6.9,1.0,29.8,29.8,29.7
758,759,2023-01-29,88,78.2,73.0,66,62.8,61.0,69,58.9,43.0,10,5.6,1.0,29.9,29.8,29.7
759,760,2023-01-30,86,77.3,70.0,72,64.6,57.0,83,65.3,51.0,9,6.0,1.0,29.9,29.8,29.8
760,761,2023-01-31,91,80.8,70.0,73,69.7,66.0,94,71.4,43.0,10,4.3,1.0,29.9,29.8,29.7
761,762,2023-02-01,88,81.3,75.0,75,72.2,66.0,94,75.3,52.0,8,4.6,1.0,29.8,29.8,29.7
762,763,2023-02-02,90,82.1,77.0,81,74.5,72.0,100,79.3,58.0,13,5.1,1.0,29.9,29.8,29.7
763,764,2023-02-03,93,84.9,77.0,75,71.4,68.0,89,65.7,44.0,14,7.6,2.0,29.9,29.8,29.7
764,765,2023-02-04,97,84.3,75.0,73,70.0,64.0,94,64.3,37.0,14,7.7,1.0,29.9,29.8,29.7
765,766,2023-02-05,95,83.2,73.0,73,69.8,64.0,94,66.2,36.0,10,5.5,1.0,29.9,29.8,29.7
766,767,2023-02-06,93,84.1,77.0,73,70.6,66.0,89,65.0,41.0,13,7.8,2.0,29.9,29.8,29.7
767,768,2023-02-07,93,83.9,79.0,75,72.5,70.0,84,69.8,46.0,14,8.6,5.0,29.9,29.8,29.7
768,769,2023-02-08,95,84.2,77.0,77,72.4,68.0,89,69.8,41.0,12,5.0,5.0,29.9,29.8,29.7
769,770,2023-02-09,95,85.0,79.0,73,70.8,68.0,83,63.2,41.0,15,9.3,3.0,29.9,29.8,29.7
770,771,2023-02-10,95,84.6,77.0,73,68.4,63.0,79,60.2,34.0,15,8.9,2.0,29.9,29.8,29.7
771,772,2023-02-11,95,83.9,77.0,75,72.0,68.0,89,69.7,41.0,14,8.1,2.0,29.9,29.8,29.7
772,773,2023-02-12,93,84.1,77.0,77,72.9,72.0,94,70.4,49.0,13,6.5,1.0,29.9,29.8,29.7
773,774,2023-02-13,91,83.5,79.0,77,74.4,72.0,89,75.5,52.0,14,7.7,1.0,29.9,29.8,29.7
774,775,2023-02-14,91,82.2,77.0,77,74.2,72.0,100,78.5,52.0,14,5.8,1.0,29.9,29.8,29.7
775,776,2023-02-15,95,83.7,77.0,73,71.0,64.0,89,67.4,36.0,12,5.5,1.0,29.9,29.8,29.8
776,777,2023-02-16,93,82.0,72.0,73,67.9,59.0,94,64.9,34.0,13,3.8,1.0,29.9,29.8,29.8
777,778,2023-02-17,93,83.0,73.0,73,68.5,63.0,83,63.1,38.0,10,5.5,1.0,29.9,29.8,29.7
778,779,2023-02-18,91,82.0,77.0,77,73.9,70.0,89,78.3,52.0,12,4.4,1.0,29.9,29.8,29.7
779,780,2023-02-19,93,82.4,77.0,77,73.2,68.0,94,76.2,44.0,14,5.1,1.0,29.9,29.8,29.7
780,781,2023-02-20,91,81.7,75.0,75,71.5,64.0,100,74.7,43.0,13,4.6,1.0,29.9,29.8,29.7
781,782,2023-02-21,93,82.0,73.0,75,69.6,63.0,94,69.3,36.0,13,4.8,1.0,29.9,29.8,29.8
782,783,2023-02-22,91,81.6,73.0,73,70.1,64.0,94,70.7,41.0,10,4.2,1.0,29.9,29.8,29.8
783,784,2023-02-23,91,82.3,75.0,73,70.5,66.0,94,69.2,46.0,13,4.1,1.0,29.9,29.8,29.7
784,785,2023-02-24,93,81.8,75.0,75,70.6,63.0,94,71.6,36.0,14,5.1,1.0,29.9,29.8,29.7
785,786,2023-02-25,91,81.0,73.0,72,67.3,61.0,89,64.8,38.0,12,3.9,1.0,30.0,29.9,29.8
786,787,2023-02-26,93,82.0,72.0,70,63.4,59.0,78,54.7,32.0,10,6.4,2.0,30.0,29.9,29.9
787,788,2023-02-27,95,82.0,72.0,73,65.3,61.0,79,57.9,34.0,13,5.3,1.0,30.0,29.9,29.9
788,789,2023-02-28,93,83.3,75.0,75,69.7,64.0,84,65.0,38.0,9,5.0,2.0,30.0,29.9,29.8
789,790,2023-03-01,95,84.2,77.0,77,72.3,66.0,94,70.0,39.0,15,4.8,2.0,30.0,29.9,29.8
790,791,2023-03-02,95,84.3,75.0,73,70.5,66.0,89,64.5,41.0,10,5.3,2.0,30.0,29.9,29.8
791,792,2023-03-03,91,82.0,73.0,72,67.7,63.0,83,63.0,43.0,12,5.5,2.0,30.0,29.9,29.9
792,793,2023-03-04,90,80.7,72.0,73,66.7,63.0,94,64.5,40.0,9,4.1,1.0,30.0,29.9,29.9
793,794,2023-03-05,93,80.8,72.0,72,63.5,55.0,83,58.6,28.0,10,5.2,1.0,30.0,29.9,29.9
794,795,2023-03-06,90,80.1,72.0,70,65.7,63.0,83,62.5,43.0,16,5.8,1.0,30.0,29.9,29.8
795,796,2023-03-07,93,80.8,70.0,70,66.0,59.0,94,62.9,32.0,13,5.3,1.0,30.0,29.9,29.8
796,797,2023-03-08,93,81.0,72.0,72,67.2,61.0,94,65.7,36.0,13,4.9,1.0,30.0,29.9,29.8
797,798,2023-03-09,93,79.3,72.0,72,65.4,61.0,89,63.1,36.0,12,6.0,1.0,29.9,29.2,29.8
798,799,2023-03-10,91,80.3,72.0,72,68.8,63.0,94,70.0,38.0,13,5.8,1.0,29.9,29.8,29.8
799,800,2023-03-11,93,81.3,73.0,72,69.6,63.0,94,69.1,41.0,14,6.6,1.0,29.9,29.9,29.8
800,801,2023-03-12,91,81.4,75.0,72,69.7,63.0,89,69.1,40.0,12,7.0,2.0,29.9,29.9,29.8
801,802,2023-03-13,91,81.9,73.0,73,67.4,59.0,94,63.6,34.0,13,5.0,2.0,29.9,29.9,29.8
802,803,2023-03-14,93,81.9,73.0,72,66.2,57.0,94,62.7,30.0,13,5.1,2.0,29.9,29.8,29.7
803,804,2023-03-15,91,80.4,73.0,72,69.1,63.0,89,70.9,38.0,12,7.3,3.0,29.9,29.8,29.8
804,805,2023-03-16,95,85.3,77.0,72,67.0,63.0,78,56.2,34.0,15,8.4,3.0,29.9,29.9,29.8
805,806,2023-03-17,95,83.2,75.0,73,70.4,66.0,89,67.0,39.0,13,6.7,2.0,29.9,29.8,29.8
806,807,2023-03-18,93,83.5,77.0,72,71.2,68.0,83,67.0,44.0,13,7.7,2.0,29.9,29.8,29.7
807,808,2023-03-19,97,85.4,79.0,73,70.9,66.0,83,63.6,37.0,13,9.2,3.0,29.9,29.8,29.7
808,809,2023-03-20,93,84.5,79.0,75,73.1,70.0,89,70.3,46.0,14,7.9,2.0,29.9,29.8,29.7
809,810,2023-03-21,95,84.5,79.0,77,74.7,70.0,89,74.8,49.0,13,7.2,2.0,29.8,29.8,29.7
810,811,2023-03-22,95,84.2,79.0,77,74.7,70.0,94,75.3,49.0,13,7.4,2.0,29.8,29.7,29.7
811,812,2023-03-23,93,84.8,79.0,77,75.2,70.0,94,74.7,49.0,10,6.7,3.0,29.8,29.8,29.7
812,813,2023-03-24,95,84.9,79.0,77,75.8,73.0,94,76.0,49.0,15,7.0,2.0,29.9,29.8,29.7
813,814,2023-03-25,91,84.1,79.0,77,74.9,72.0,94,76.0,52.0,12,7.5,5.0,29.9,29.8,29.7
814,815,2023-03-26,97,85.1,77.0,77,74.4,64.0,100,73.0,44.0,13,5.8,1.0,29.9,29.8,29.7
815,816,2023-03-27,93,85.2,81.0,79,75.8,72.0,89,75.0,49.0,14,7.9,3.0,29.9,29.8,29.7
816,817,2023-03-28,97,86.3,81.0,79,76.2,72.0,94,73.4,44.0,15,10.6,5.0,29.9,29.8,29.7
817,818,2023-03-29,97,86.2,79.0,77,71.9,64.0,89,64.7,36.0,13,7.5,3.0,29.9,29.8,29.7
